sentence,label,source
"The cooperation will involve Arena Partners buying a 35 % share of the new joint venture company , operating in Alma Media 's home sales , vehicle and consumer advertising marketplace businesses .",neutral,FPB
LIVE NOW: Press conference with #FOMC Chair Powell: https://t.co/sh1FXgYlwr and https://t.co/FJa6TbkDMt,neutral,Twitter
BlackRock declares $3.30 dividend,neutral,Twitter
UPDATE 2-China's Pinduoduo posts bigger loss as costs surge; shares tumble,negative,Twitter
2 Best Cannabis Stocks to Buy in February,neutral,Twitter
Barclays Executive’s Lawyer Likens Prosecutor to Titanic Captain,neutral,Twitter
China to Price Existing Loans With New Benchmark Lending Rates #taux #MarketScreener https://t.co/PELmoyfWz4 https://t.co/Nq8pxwGr8U,neutral,Twitter
Heat Biologics started at buy with $1 stock price target at Maxim Group,positive,Twitter
"EXEL COMPOSITES IN BRIEF Exel Composites is a technology company which designs , manufactures and markets composite profiles and tubes for industrial applications .",neutral,FPB
Hollywood Box Office Booms Even as Americans Stay Home and Chill,neutral,Twitter
"Tata Steel plans to cut up to 3,000 European jobs",neutral,Twitter
Costco price target raised to $330 vs. $320 at BofA Merrill Lynch,positive,Twitter
"China is the enemy' on trade, not Trump' — Cramer blasts media over love of Chinese leader Xi https://t.co/rqfJD8OfBC",neutral,Twitter
$AXAS - Abraxas Petroleum: Poor Liquidity Points To A Chapter 11 May Be On The Horizon. https://t.co/bdKkXTKDOL… https://t.co/PG849ZPziP,negative,Twitter
"Finnish Scanfil , a systems supplier and contract manufacturer to the communications sector and the electronics industry , reports net sales of EUR 49.6 mn in the first quarter of 2009 , which are only a per cent smaller than in the corresponding period in 2008 .",negative,FPB
Rise in U.S. Labor-Force Participation Led by Millennial Women,positive,Twitter
$DHR - Danaher Corporation declares $0.17 dividend https://t.co/GqRhZOcCbi,neutral,Twitter
"Dow ends nearly 1,600 points higher on hopes coronavirus peak is near https://t.co/XgNjVJHoqW",positive,Twitter
credit 20 November 2009 - Finnish glass technology company Glaston Oyj Abp ( HEL : GLA1V ) said today it concluded a EUR74m revolving credit facility agreement with its core banks .,positive,FPB
"In June it sold a 30 percent stake to Nordstjernan , and the investment group has now taken up the option to acquire EQT 's remaining shares .",neutral,FPB
$UGAZ Will this cold put a dent in the massive horizontal rig production. Who knows  http://stks.co/p1V6P,negative,FiQA
"CNH Industrial EPS misses by $0.01, misses on revenue",negative,Twitter
The euro is approaching record-low levels vs. the Swiss franc,negative,Twitter
Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,positive,FPB
Adobe Receives New Rating from Top Analyst $ADBE https://t.co/LJNXPEvHZN,positive,FiQA
Stock Market Update: WTI crude gives back 1% amid nervous-sounding trade headline,negative,Twitter
Where The World Is Going,neutral,Twitter
The Russian government tapped its sovereign wealth fund to purchase the central bank's 50% holding in the country's… https://t.co/XNbtGWFcog,neutral,Twitter
"The big LVMH-Tiffany deal is getting closer 
https://t.co/Vg8rD4SMSp",neutral,Twitter
UPDATE 1-Emirates announces $16 bln order for 50 Airbus A350 planes,neutral,Twitter
Fortum also has a blocking stake in Northwestern TGK-1 .,neutral,FPB
"`` BasWare 's product sales grew strongly in the financial period , by 24 percent .",positive,FPB
Impeachment Probe Turns to Trump Ally at Heart of Ukraine Storm,neutral,Twitter
"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",positive,FPB
Americans are flocking to these 15 cities where jobs are plentiful and salaries are rising. (via @CNBCMakeIt)… https://t.co/QyQjU9Mx2O,neutral,Twitter
"Compared with the FTSE 100 index , which rose 28.3 points or 0.5 % on the day , this was a relative price change of 2.3 % .",positive,FPB
General Announcement::Appointment of Independent Financial Adviser #SingaporeExchange #Stock #MarketScreener… https://t.co/ctgH5oNsJN,neutral,Twitter
"AUD/USD, NZD/USD, USD/CNY – Greenback Showing Slight Gains",positive,Twitter
Here are the biggest stories from Bloomberg News today https://t.co/cDxh17g9ul,neutral,Twitter
